Designator,Mid X,Mid Y,Layer,Rotation
"A1",130.556,-121.920,"Top",0
"J1",219.075,-85.083,"Top",-90
"J2",190.620,-78.000,"Top",180
"J3",146.558,-83.693,"Top",-90
"J4",146.812,-96.774,"Top",-90
"J5",176.189,-78.000,"Top",180
"J6",161.758,-78.000,"Top",180
"J7",188.214,-88.900,"Top",180
"J8",174.442,-88.773,"Top",180
"J9",159.075,-88.773,"Top",180
"J10",219.075,-101.386,"Top",-90
"J11",218.400,-78.000,"Top",180
"J12",206.375,-111.887,"Top",0
"J13",212.725,-93.933,"Top",-90
"J14",204.978,-78.000,"Top",180
"J15",155.631,-103.378,"Top",0
"J16",146.685,-108.458,"Top",-90
"J17",229.870,-130.349,"Top",90
"J18",182.158,-112.476,"Top",0
"J19",195.989,-112.041,"Top",0
"J20",197.565,-91.829,"Top",0
"J21",204.200,-131.826,"Top",90
"J22",210.050,-131.826,"Top",90
"J23",215.900,-131.826,"Top",90
"J24",221.750,-131.826,"Top",90
"R1",205.105,-105.537,"Top",90
"R2",199.644,-105.537,"Top",90
